PetID,AdoptionSpeed
378fcc4fc,4
73c10e136,4
72000c4c5,4
e147a4b9f,3
43fbba852,4
77a490ec9,4
28c4b1b13,3
d1eada628,4
d134dec34,4
bcd464bb8,4
4e21958c3,4
7b070aed6,2
ff8d0708f,4
f1e6c9bf3,4
248914c05,2
948002885,4
111e67cd2,2
4f4b2ede1,4
d77fca061,2
ac9fb74b9,2
47ef39e7a,4
c69ee9807,2
62dcf8ecb,4
4df1d19d6,3
e8ef8455e,4
cbd23bc17,2
4d1a91ccf,2
004ee5cf7,2
95fad0a75,4
64341b5db,4
36726d4ef,3
0b56a7525,3
7f819d0db,4
550a0368b,4
9f60fc089,4
92ad0b5d6,2
a0465636d,2
257e363e0,4
ead84ae08,4
e3b8f72db,2
3dd3a9a4a,2
7d266f64e,4
ee31cafb8,2
39795544e,4
bd401c9d7,1
ca34f08c5,4
f28185f8b,4
578ded1cf,4
075c67b05,2
2d3f76a93,3
c9049c53d,2
d51a9f925,2
1d4d82bda,4
e56ca790d,4
64d85557b,4
07dfc8e89,3
5891eb6ec,3
1e79f1a74,4
0603e450a,4
4c08175f2,2
63ea487ed,4
94738fe21,4
f8c7d5162,2
3aab441c8,4
9aaaee20a,4
99b56d294,2
35edda33d,4
348fade02,3
301b3b88b,4
59b68d2e2,3
bcb71ba05,4
b3d560f95,4
c87763ce2,4
40f5e930e,2
0e178cab1,4
ea75287c4,4
128337e08,4
1a92f6e92,4
f1eb8b164,4
959a881a3,4
699ede995,3
95b2b8d75,4
75f25bcb6,4
87c583bbc,4
c74a234f2,4
02661c4c5,3
fee0eca1a,4
1ec246964,3
9d9ac4430,3
68801b60f,4
fe174feaf,4
295d49ea4,4
6ab47c3bb,4
bdb8343cb,4
d36ac8c08,4
3972dce9e,4
a0b3ccddc,2
6e4ba0bbc,2
b23d4068f,4
2920191f9,4
d683ca8e2,4
48efa3f5e,4
e03924fbe,4
6d19b5b19,2
c224db738,4
1b5ee9232,4
a3af20492,4
1dfaadc39,3
427a7d9a4,4
d8e945151,4
27c72b14a,2
3b69b9208,4
cc5e6046a,4
ff78e02f1,4
2499a5ac3,4
53c4f449e,4
4f167e094,4
76b8cdefd,4
94c6c543b,2
835cb2fef,3
a90f1da14,3
4db3fb6cd,4
6d680bfcd,1
ff8d81a17,1
bddf3eba7,4
af689290f,1
83c01a2f1,4
73a62be68,3
b590148db,3
c143aa174,3
71866498f,2
959973c0a,4
87bf9db6c,4
3ccb69d5e,4
e9a238ffc,2
8b590e38d,4
ae69e67e9,4
4ccb74caf,4
023572703,4
c8107d860,2
ae6da35ad,2
0b3c0c460,4
ddb893ad0,4
31896f476,4
091271d52,2
7977c1678,4
c584098d4,4
7c0eb87d7,2
bc2140510,4
500ddcf93,2
f9d04b2c1,2
1895238aa,4
7410e4590,4
238a79d8f,2
335c29a28,2
9b7e7d728,4
9bb49d92f,4
47edb873c,1
0de470e08,4
fcbadee1d,4
b245ba4ee,4
a752c78f4,4
201dab625,4
4fb06e56b,4
57fc14141,1
b5f878e59,1
dfa4ed447,1
9685bf777,1
bf5e0d442,3
78a8f8a07,1
92143aaee,2
f72282155,1
aac356b94,3
f86d87b63,2
e38b05c0d,1
b058642e7,1
655867ece,3
e024807df,1
4192f7f1b,4
2b9c8cfa6,1
1640ba06b,1
bef3d72f4,1
7fda5f5f8,4
67405624c,2
96c7bbbaf,1
6bbf1c7a8,1
5470874da,2
677287d56,1
10888c73f,1
c941bf351,1
db6972cb2,2
a657b0ea6,1
e9143cfdf,1
c1805e832,1
261ce8fc3,3
de136c13b,2
8ed7d0992,1
da111ef86,1
9af944fc5,4
0325c6d0c,1
b003e8b9f,1
889bfaf96,3
a4404351a,3
3a00823a4,2
5e98f3ff3,3
d8acef713,1
b974a19cd,1
df21b3124,3
9b01e4b24,1
387ae48fc,1
1ee21b297,1
8fd546c6f,1
dbe6d4fd1,1
09dbd2f26,1
2acdd3a56,1
8b6fd3411,1
26f787401,1
cea74a1f7,1
df4f4130b,4
ef6b5d97f,1
97a07be8d,2
b079f32ce,1
964243fcb,1
6c48a45ee,1
0f3aa4636,4
3bd5dd377,2
bd86f3b7c,1
4af2a37ff,3
